trial,condition,primeword,target,correctResp,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,thisRow.t,notes,scanner_init.started,text.started,key_resp_2.started,scanner_init.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,longfix.started,startfixation.started,startfixation.stopped,longfix.stopped,trials.started,bwtrialsfixation.started,prime.started,key_resp.started,bwtrialsfixation.stopped,prime.stopped,filler.started,stimulus.started,filler.stopped,stimulus.stopped,filler2.started,key_resp.stopped,filler2.stopped,trials.stopped,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.005127209005877376,0.008279125002445653,0.008279125002445653,2.3080121249950025,space,2.2754592080018483,None,,,,,,,,,,,,,,,,,,,,,,,,,,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
,,,,,,,,,,,,,,,,,,2.308042334014317,2.3309134590090252,25.870063334004954,space,23.52404791698791,None,,,,,,,,,,,,,,,,,,,,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
55,Same,cook,cook,2,0,0,0,54,36.12154616700718,,,,,,,,,,,,,,,25.870099834020948,25.884087459009606,36.12154616700718,36.068711917003384,36.112034459016286,36.12154616700718,37.06843025001581,37.06843025001581,37.1182269169949,37.35500420900644,1.3022347920050379,37.75772058402072,1.6992307920008898,38.06894320901483,1.9990094589884393,40.13869399999385,4.068624917010311,40.138912833994254,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
89,semanticR,chef,cook,2,0,1,1,88,40.15165895901737,,,,,,,,,,,,,,,,,,,40.13991358401836,40.15165895901737,41.13920608401531,41.13920608401531,41.13920608401531,41.435072874999605,1.301604459004011,41.83945883400156,1.689412750012707,42.15326916699996,2.0032260000007227,44.20628716700594,,44.23604350001551,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
200,Different,chef,book,3,0,2,2,199,44.241686042019865,,,,,,,,,,,,,,,,,,,44.236365834018216,44.241686042019865,45.22625083400635,45.22625083400635,45.234990084019955,45.52220537501853,1.3048927090130746,45.92331895901589,1.6932622090389486,46.21941066702129,2.0051457500376273,48.30173091700999,4.071662709029624,48.30199224999524,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
45,semanticR,ship,boat,3,0,3,3,44,48.30974658401101,,,,,,,,,,,,,,,,,,,48.302296959009254,48.30974658401101,49.318347249994986,49.318347249994986,49.318347249994986,49.60445191699546,1.3083315000403672,50.00701283401577,1.6969916250382084,50.31948679199559,2.0095955000433605,52.388754834013525,4.07868287502788,52.388955083995825,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
53,semanticR,cook,chef,2,0,4,4,52,52.401575374999084,,,,,,,,,,,,,,,,,,,52.389212042005965,52.401575374999084,53.39107762501226,53.39107762501226,53.39107762501226,53.68868758401368,1.31161270904704,54.08604670900968,1.7007632500608452,54.386081792006735,2.001561584038427,56.468560209003044,4.078491125052096,56.46876983399852,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
106,1D,goat,boat,3,0,5,5,105,56.47502833401086,,,,,,,,,,,,,,,,,,,56.469035959016765,56.47502833401086,57.468507125013275,57.468507125013275,57.474566749995574,57.75566233400605,1.3025476250622887,58.16945887499605,1.6995644590642769,58.46808954200242,2.0004395840514917,60.540034500008915,,60.55199008400086,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
154,1D,cook,book,3,0,6,6,153,60.561359209008515,,,,,,,,,,,,,,,,,,,60.55301554201287,60.561359209008515,61.539823375002015,61.539823375002015,61.55465645901859,61.83506070901058,1.3017297090846114,62.23835583400796,1.6882990420854185,62.534905709006125,2.001504125073552,64.61902112502139,4.069025167089421,64.62017195901717,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
7,Same,goat,goat,2,0,7,7,6,64.62720887499745,,,,,,,,,,,,,,,,,,,64.62119862501277,64.62720887499745,65.62294745902182,65.62294745902182,65.62294745902182,65.9186074169993,1.3064396670961287,66.33674933400471,1.7068097920855507,66.63510162499733,2.0050485420797486,68.7029806250066,4.072909334092401,68.70318645899533,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
81,semanticR,boat,ship,3,0,8,8,80,68.71850841701962,,,,,,,,,,,,,,,,,,,68.70344658399699,68.71850841701962,69.70603370902245,69.70603370902245,69.70603370902245,70.00187154201558,1.3084977091057226,70.41987395900651,1.7099209591106046,70.70635162500548,2.008423959108768,72.77446470901486,4.075312167115044,72.78633120900486,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
223,Same,boat,boat,3,0,9,9,222,72.7929087090015,,,,,,,,,,,,,,,,,,,72.78737604201888,72.7929087090015,73.78939829202136,73.78939829202136,73.78939829202136,74.08520404199953,1.3117590421170462,74.48580441699596,1.6980095001053996,74.77364362499793,2.000280459120404,76.85755225000321,4.078460459102644,76.86886291700648,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
166,1D,goat,boat,3,0,10,10,165,76.87412091699662,,,,,,,,,,,,,,,,,,,76.86921204201644,76.87412091699662,77.86857941700146,77.86857941700146,77.86857941700146,78.1572173750028,1.303030292125186,78.56844233401353,1.6984009171428625,78.8569020840223,2.001994417136302,80.93857879200368,,80.95231354201678,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
52,Different,chef,book,3,0,11,11,51,80.9599473340204,,,,,,,,,,,,,,,,,,,80.95315750001464,80.9599473340204,81.94359437501407,81.94359437501407,81.95179891699809,82.23906929200166,1.3018477091391105,82.63960916700307,1.6896812091290485,82.95280216701212,2.002854000136722,85.0221527920221,4.072082000144292,85.0224045420182,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
169,semanticR,chef,cook,2,0,12,12,168,85.03518900001654,,,,,,,,,,,,,,,,,,,85.02269991699723,85.03518900001654,86.02539141700254,86.02539141700254,86.02539141700254,86.32249287501327,1.305135167145636,86.72422104200814,1.6941800421627704,87.0358974590199,2.005987875163555,89.11863033400732,4.073445875168545,89.10456624999642,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
136,Different,book,chef,2,0,13,13,135,89.11863033400732,,,,,,,,,,,,,,,,,,,89.10576758399839,89.11863033400732,90.10635887499666,90.10635887499666,90.10635887499666,90.40192737500183,1.3086705841706134,90.80952937499387,1.6994742921669967,91.1190076250059,2.0090373341809027,93.1735125000123,4.078346459165914,93.1886924590217,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
128,Different,ship,goat,2,0,14,14,127,93.2017050840077,,,,,,,,,,,,,,,,,,,93.18897575000301,93.2017050840077,94.20179633400403,94.20179633400403,94.20179633400403,94.48896983399754,1.3117966251738835,94.90337079201709,1.7134083341807127,95.20193599999766,1.999054750194773,,,97.27052483402076,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
61,semanticR,boat,ship,3,0,15,15,60,97.28539100001217,,,,,,,,,,,,,,,,,,,97.27128479201929,97.28539100001217,98.26858016700135,98.26858016700135,98.27275987502071,98.55576620899956,1.3019878341874573,98.958061250014,1.6996880001970567,99.26851645900751,2.002001000189921,101.33975383400684,,101.35291141699417,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
23,Same,boat,boat,3,0,16,16,22,101.36101362502086,,,,,,,,,,,,,,,,,,,101.35382562500308,101.36101362502086,102.35198966701864,102.35198966701864,102.35651241699816,102.6398131250171,1.30195458419621,103.04190404200926,1.6918698752124328,103.35204983400763,2.0019975842151325,105.42570229200646,4.069253459194442,105.41955229200539,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
72,Different,chef,book,3,0,17,17,71,105.42570229200646,,,,,,,,,,,,,,,,,,,105.41983895900194,105.42570229200646,106.42529033400933,106.42529033400933,106.42529033400933,106.72172845900059,1.3052999172068667,107.12493741701473,1.6948802502301987,107.42017533400212,2.0060460002277978,109.5025572089944,4.072539459215477,109.50348079201649,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
150,1D,book,cook,2,0,18,18,149,109.50979320899933,,,,,,,,,,,,,,,,,,,109.50420462500188,109.50979320899933,110.50641270901542,110.50641270901542,110.50641270901542,110.80203870902187,1.308690167235909,111.20474837502115,1.7085797502368223,111.50197112502065,2.0086742092389613,113.58565408401773,4.075732417230029,113.58736987502198,None,409058,001,2023-11-28_15h19.03.311,semanticsuppression,2023.2.2,None,2023-11-28 15h19.09.244452 -0800,
