condition	duration	trials.started
fixation	10	25.87009983
Same	4.08	36.11203446
semanticR	4.08	40.13991358
Different	4.08	44.23636583
semanticR	4.08	48.30229696
semanticR	4.08	52.38921204
1D	4.08	56.46903596
1D	4.08	60.55301554
Same	4.08	64.62119863
semanticR	4.08	68.70344658
Same	4.08	72.78737604
1D	4.08	76.86921204
Different	4.08	80.9531575
semanticR	4.08	85.02269992
Different	4.08	89.10576758
Different	4.08	93.18897575
semanticR	4.08	97.27128479
Same	4.08	101.3538256
Different	4.08	105.419839
1D	4.08	109.5042046
1D	4.08	113.5877423
semanticR	4.08	117.6735405
Different	4.08	121.7405707
semanticR	4.08	125.8217735
Same	4.08	129.9056748
semanticR	4.08	134.0033817
1D	4.08	138.0711682
Same	4.08	142.137488
Same	4.08	146.2211063
Different	4.08	150.319217
semanticR	4.08	154.3898215
Same	4.08	158.4705612
1D	4.08	162.5395693
Same	4.08	166.6220025
Different	4.08	170.7064571
Same	4.08	174.7894794
Same	4.08	178.8716219
Different	4.08	182.9394331
Same	4.08	187.0255253
Same	4.08	191.10518
1D	4.08	195.1893121
Different	4.08	199.2698572
1D	4.08	203.3545911
1D	4.08	207.4219022
Same	4.08	211.5211388
semanticR	4.08	215.5864735
semanticR	4.08	219.6697936
semanticR	4.08	223.7364946
Same	4.08	227.8198908
1D	4.08	231.9065319
Different	4.08	235.9889225
Same	4.08	240.0721507
Different	4.08	244.1411223
Different	4.08	248.2379965
Different	4.08	252.3068563
1D	4.08	256.3910858
semanticR	4.08	260.4699075
Same	4.08	264.539536
Same	4.08	268.6220014
Same	4.08	272.7065911
Different	4.08	276.7894313
Different	4.08	280.8714172
semanticR	4.08	284.9372641
semanticR	4.08	289.0380095
Different	4.08	293.1213115
semanticR	4.08	297.2040748
semanticR	4.08	301.2717707
semanticR	4.08	305.3398682
Same	4.08	309.4222158
1D	4.08	313.5219628
1D	4.08	317.5869166
semanticR	4.08	321.6714254
semanticR	4.08	325.7410303
Different	4.08	329.8223385
semanticR	4.08	333.9056112
Same	4.08	337.9901846
Same	4.08	342.0714833
1D	4.08	346.1399828
Same	4.08	350.2369598
semanticR	4.08	354.3037933
semanticR	4.08	358.3909374
semanticR	4.08	362.4711929
semanticR	4.08	366.5447818
1D	4.08	370.6389721
semanticR	4.08	374.704696
Same	4.08	378.7876401
