trial,condition,primeword,target,correctResp,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,thisRow.t,notes,scanner_init.started,text.started,key_resp_2.started,scanner_init.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,longfix.started,startfixation.started,startfixation.stopped,longfix.stopped,trials.started,bwtrialsfixation.started,prime.started,key_resp.started,bwtrialsfixation.stopped,prime.stopped,filler.started,stimulus.started,filler.stopped,stimulus.stopped,filler2.started,key_resp.stopped,filler2.stopped,trials.stopped,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.0043641660013236105,0.01328004099195823,0.01328004099195823,1.021521374990698,space,0.9762768340006005,None,,,,,,,,,,,,,,,,,,,,,,,,,,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
,,,,,,,,,,,,,,,,,,1.0215530830028001,1.0458165829768404,4.064608290995238,space,3.0127854159800336,None,,,,,,,,,,,,,,,,,,,,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
78,1D,book,cook,2,0,0,0,77,14.319229207991157,,,,,,,,,,,,,,,4.064642707991879,4.080508665996604,14.319229207991157,14.264227207982913,14.312507041002391,14.319229207991157,15.254396165983053,15.254396165983053,15.313968582981033,15.551192957995227,1.299256708996836,15.951166082988493,1.6865769590076525,16.247220874996856,1.9992469169956166,18.330584249983076,4.065965374989901,18.330907374998787,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
204,Different,goat,ship,3,0,1,1,203,18.34388920798665,,,,,,,,,,,,,,,,,,,18.331638374977047,18.34388920798665,19.33628341599251,19.33628341599251,19.33628341599251,19.63439737498993,1.3026589170040097,20.034454582986655,1.6898441670055036,20.330533624975942,2.0026317090087105,22.41399649999221,4.069380708999233,22.414327749982476,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
123,Same,boat,boat,3,0,2,2,122,22.422837291000178,,,,,,,,,,,,,,,,,,,22.41484324997873,22.422837291000178,23.41979437498958,23.41979437498958,23.41979437498958,23.716610332980053,1.3059971670154482,24.117880790989147,1.6932736250164453,24.41397991598933,2.0059865840303246,26.49744420798379,4.072834750026232,26.497802540980047,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
143,Same,boat,boat,3,0,3,3,142,26.502470207982697,,,,,,,,,,,,,,,,,,,26.498280999978306,26.502470207982697,27.5030612499977,27.5030612499977,27.5030612499977,27.797274207987357,1.3092774170218036,28.20117166597629,1.696584375022212,28.49740224998095,2.009400250040926,30.580693458003225,4.07608758402057,30.58114454097813,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
104,Different,goat,ship,3,0,4,4,103,30.590308207989438,,,,,,,,,,,,,,,,,,,30.581634957983624,30.590308207989438,31.585863915999653,31.585863915999653,31.585863915999653,31.880682582996087,1.2997233750356827,32.28060404097778,1.6959985840367153,32.56799037498422,1.9999795840412844,34.66415599998436,4.0795482090325095,34.66456337500131,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
115,Same,cook,cook,2,0,5,5,114,34.67353458298021,,,,,,,,,,,,,,,,,,,34.665051916002994,34.67353458298021,35.65360416600015,35.65360416600015,35.66884241599473,35.9512311249855,1.2991975000477396,36.351086374983424,1.6864921250671614,36.64735995797673,1.9993839590460993,38.73069016597583,4.06607062506373,38.730973832978634,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
12,Different,chef,book,3,0,6,6,11,38.74082479099161,,,,,,,,,,,,,,,,,,,38.73140170797706,38.74082479099161,39.7361798749771,39.7361798749771,39.7361798749771,40.030680374999065,1.3026680840703193,40.43537925000419,1.6907780420733616,40.73347116599325,2.002793834079057,42.81412154098507,4.069514292059466,42.81447791599203,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
144,Different,goat,ship,3,0,7,7,143,42.82346966597834,,,,,,,,,,,,,,,,,,,42.81506074999925,42.82346966597834,43.819695040991064,43.819695040991064,43.819695040991064,44.117977832996985,1.3061142500955611,44.518064249976305,1.693461459071841,44.81405941597768,2.0060989170742687,46.89740887499647,4.072794542094925,46.89772508299211,None,307115,001,2023-11-27_16h59.11.329,semanticsuppression,2023.2.2,None,2023-11-27 16h59.16.912538 -0800,
