condition	duration	trials.started
fixation	10	4.064642708
1D	4.08	14.31250704
Different	4.08	18.33163837
Same	4.08	22.41484325
Same	4.08	26.498281
Different	4.08	30.58163496
Same	4.08	34.66505192
Different	4.08	38.73140171
Different	4.08	42.81506075
Same	4.08	46.8981455
Same	4.08	50.98164133
Same	4.08	55.06499717
Different	4.08	59.131561
Same	4.08	63.21501783
1D	4.08	67.30004992
Same	4.08	71.38162583
Same	4.08	75.46489171
semanticR	4.08	79.53183762
Different	4.08	83.61517617
1D	4.08	87.69853854
semanticR	4.08	91.78170812
semanticR	4.08	95.86531242
Same	4.08	99.93171137
semanticR	4.08	104.0151804
1D	4.08	108.1039134
Same	4.08	112.1818638
1D	4.08	116.2655861
Different	4.08	120.3320332
Different	4.08	124.4151675
1D	4.08	128.4985128
Different	4.08	132.5819021
1D	4.08	136.6662812
1D	4.08	140.7321497
semanticR	4.08	144.8151945
semanticR	4.08	148.898861
Same	4.08	152.9820723
Same	4.08	157.0653806
semanticR	4.08	161.1321677
1D	4.08	165.2176213
1D	4.08	169.2989541
semanticR	4.08	173.3822315
1D	4.08	177.4653004
Same	4.08	181.5327655
Different	4.08	185.616184
semanticR	4.08	189.6988457
semanticR	4.08	193.7823182
semanticR	4.08	197.867204
1D	4.08	201.9325151
1D	4.08	206.0157837
semanticR	4.08	210.0991886
1D	4.08	214.1839006
Different	4.08	218.2660373
semanticR	4.08	222.3323357
Different	4.08	226.4158563
1D	4.08	230.4993024
1D	4.08	234.5824095
Same	4.08	238.6655992
Different	4.08	242.7325138
Same	4.08	246.8170327
semanticR	4.08	250.8998872
Same	4.08	254.9828257
semanticR	4.08	259.0658263
semanticR	4.08	263.1364595
Same	4.08	267.2184005
1D	4.08	271.2994418
Same	4.08	275.3826449
1D	4.08	279.4658977
Different	4.08	283.5328133
Same	4.08	287.617892
1D	4.08	291.7003219
semanticR	4.08	295.7829815
1D	4.08	299.8660209
Different	4.08	303.933046
1D	4.08	308.0188336
semanticR	4.08	312.1006238
Different	4.08	316.1829121
1D	4.08	320.2660884
Same	4.08	324.3330386
semanticR	4.08	328.4163279
Same	4.08	332.4997694
Different	4.08	336.5830279
Same	4.08	340.667689
1D	4.08	344.7331097
semanticR	4.08	348.8164897
1D	4.08	352.8998308
1D	4.08	356.9845163
1D	4.08	361.0677961
Same	4.08	365.1332515
Different	4.08	369.2165335
1D	4.08	373.3000421
semanticR	4.08	377.383357
semanticR	4.08	381.4662885
Same	4.08	385.5333768
1D	4.08	389.6167584
semanticR	4.08	393.7000321
semanticR	4.08	397.7834323
Different	4.08	401.8664956
1D	4.08	405.9334183
Same	4.08	410.0168261
Same	4.08	414.1001539
1D	4.08	418.1834983
semanticR	4.08	422.2665377
Same	4.08	426.3334169
Same	4.08	430.4170257
1D	4.08	434.5002074
1D	4.08	438.5844197
Same	4.08	442.666662
semanticR	4.08	446.7335951
Same	4.08	450.8169735
semanticR	4.08	454.9003303
1D	4.08	458.9837199
1D	4.08	463.0676076
semanticR	4.08	467.1337852
Same	4.08	471.2170282
semanticR	4.08	475.3004549
Same	4.08	479.3836952
Same	4.08	483.4669098
1D	4.08	487.5338663
Different	4.08	491.6171113
Different	4.08	495.7005493
Different	4.08	499.7845271
Different	4.08	503.8679045
1D	4.08	507.9339691
Different	4.08	512.0172616
Different	4.08	516.1035145
semanticR	4.08	520.1855044
Same	4.08	524.2671526
semanticR	4.08	528.3338973
semanticR	4.08	532.4172254
Same	4.08	536.5019302
Different	4.08	540.5841734
Same	4.08	544.667636
semanticR	4.08	548.7341785
1D	4.08	552.8183225
Different	4.08	556.9014729
Different	4.08	560.9842218
Different	4.08	565.0679777
1D	4.08	569.1344085
Same	4.08	573.2194868
Same	4.08	577.301028
Different	4.08	581.3844191
semanticR	4.08	585.467337
Different	4.08	589.5342852
Different	4.08	593.6177125
1D	4.08	597.7022602
semanticR	4.08	601.7844585
Different	4.08	605.8522022
semanticR	4.08	609.9343371
1D	4.08	614.0178242
Different	4.08	618.1011601
Different	4.08	622.1858357
Same	4.08	626.2513138
Different	4.08	630.3344855
1D	4.08	634.4179301
Different	4.08	638.5013318
semanticR	4.08	642.5855487
Same	4.08	646.6513131
1D	4.08	650.7347047
Same	4.08	654.8180885
1D	4.08	658.9015367
Different	4.08	662.9854123
1D	4.08	667.0512615
semanticR	4.08	671.1347639
semanticR	4.08	675.2191554
Different	4.08	679.3016588
semanticR	4.08	683.3847283
Different	4.08	687.4515592
semanticR	4.08	691.5348386
semanticR	4.08	695.6181832
semanticR	4.08	699.7017492
semanticR	4.08	703.7859733
semanticR	4.08	707.8518234
Same	4.08	711.9348468
1D	4.08	716.0191343
Same	4.08	720.1018312
Same	4.08	724.18498
Different	4.08	728.2531751
Same	4.08	732.3350937
Different	4.08	736.418304
Different	4.08	740.5016977
semanticR	4.08	744.5851746
Same	4.08	748.6525802
1D	4.08	752.734994
Different	4.08	756.8199187
1D	4.08	760.9037544
Different	4.08	764.9852756
Different	4.08	769.0524816
Different	4.08	773.135216
Different	4.08	777.2186192
1D	4.08	781.3020355
Different	4.08	785.3853062
1D	4.08	789.4519487
1D	4.08	793.5351312
1D	4.08	797.6187821
Different	4.08	801.7021793
Same	4.08	805.7852222
Same	4.08	809.852124
Different	4.08	813.9352323
Same	4.08	818.0188658
1D	4.08	822.1022048
Different	4.08	826.1869548
semanticR	4.08	830.2524108
Different	4.08	834.3353992
Same	4.08	838.4199196
Different	4.08	842.5022674
1D	4.08	846.5852465
1D	4.08	850.652463
semanticR	4.08	854.7356014
Different	4.08	858.819125
semanticR	4.08	862.9038846
Same	4.08	866.9854755
Same	4.08	871.0537166
semanticR	4.08	875.135877
Same	4.08	879.2190923
semanticR	4.08	883.3021723
semanticR	4.08	887.385487
semanticR	4.08	891.4568328
1D	4.08	895.5412349
1D	4.08	899.6227807
Same	4.08	903.7026497
semanticR	4.08	907.7856209
Different	4.08	911.852522
semanticR	4.08	915.9360278
Different	4.08	920.0193835
semanticR	4.08	924.1027752
Same	4.08	928.1858402
1D	4.08	932.2526617
Same	4.08	936.3363001
semanticR	4.08	940.4188451
Different	4.08	944.5027817
1D	4.08	948.5858543
semanticR	4.08	952.6529518
Same	4.08	956.7361406
fixation	10	960.8193496
